,TN
2018-01-15,0.8766
2018-02-15,0.8266
2018-03-15,0.8966
2018-04-15,0.8966
2018-05-15,0.7166
2018-06-15,0.7566
2018-07-15,0.5366
2018-08-15,0.4566
2018-09-15,0.4666
2018-10-15,0.6266
2018-11-15,1.3166
2018-12-15,0.9066
2019-01-15,0.8833
2019-02-15,0.8333
2019-03-15,0.9033
2019-04-15,0.9033
2019-05-15,0.7233
2019-06-15,0.7633
2019-07-15,0.5433
2019-08-15,0.4633
2019-09-15,0.4733
2019-10-15,0.6333
2019-11-15,1.3233
2019-12-15,0.9133
2020-01-15,0.89
2020-02-15,0.84
2020-03-15,0.91
2020-04-15,0.91
2020-05-15,0.73
2020-06-15,0.77
2020-07-15,0.55
2020-08-15,0.47
2020-09-15,0.48
2020-10-15,0.64
2020-11-15,1.33
2020-12-15,0.92
2021-01-15,0.93
2021-02-15,0.93
2021-03-15,0.74
2021-04-15,0.92
2021-05-15,0.68
2021-06-15,0.83
2021-07-15,0.84
2021-08-15,0.52
2021-09-15,1.22
2021-10-15,0.78
2021-11-15,0.81
2021-12-15,0.74
2022-01-15,0.78
2022-02-15,0.96
2022-03-15,0.79
2022-04-15,0.8
2022-05-15,0.6
2022-06-15,0.75
2022-07-15,0.61
2022-08-15,0.61
2022-09-15,1.77
2022-10-15,0.67
2022-11-15,0.79
2022-12-15,0.47
