,Nutrient reduction,Without nutrient reduction
L2,0.005171388,0.015171388
L3,0.004446234,0.007758115
L4,0.187777486,0.244110732
L6,0.064350039,0.228700078
L7,0.009554435,0.11910887
L10,0,0
L11,0,0
L12,1.15E-05,2.19E-05
L14,0.000186602,0.001025684
L15,0.044546152,0.057909998
L16,0.015838996,0.025342394
L17,0,0
L18,0.133554609,0.173620992
L19,0,0
L20,0.08741166,0.113635158
L22,0.040827695,0.181655389
L23,0,0
L25,0.384803258,0.615685212
L26,0.004731812,0.014731812
L28,0,0
L29,1.21E-05,1.80E-05
L30,0.024480388,0.031824504
L31,0.0337325,0.167464999
L32,0,0
L34,0.044801838,0.071682941
L37,0.191887692,0.307020307
L38,0.179562141,0.233430783
L39,0.010723227,0.013940194
L41,0,0
L42,0.310703813,0.403914957
L43,0.001418732,0.003172455
L44,0.118825684,0.15447339
L45,0.082775474,0.107608116
L47,0.036595923,0.0475747
L48,0.036656457,0.173312914
L51,0.111688998,0.145195698
L52,0.000253358,0.000536749
L53,0.030183831,0.03923898
L54,0.0187343,0.02435459
L55,0.00218338,0.007459445
L58,0.018676038,0.024278849
L59,0.162347483,0.211051728
L60,0.132444177,0.17217743
L62,0.002649093,0.002914002
L64,0.049381836,0.064196387
L65,0.049624869,0.199249739
L66,0.015639557,0.017203512
L67,0.116214349,0.151078654
L68,0.10803499,0.140445487
L69,0,0
L73,0,0
L75,0.017886012,0.023251816
L77,0,0
L78,0.019918418,0.02191026
L81,0,0
L82,0.001479375,0.004509141
L83,0.025328055,0.032926472
L84,2.35E-05,4.16E-05
L85,0,0
L86,6.10E-06,7.93E-06
L87,0.947290121,1.515664193
L88,0.084137115,0.10937825
L91,0.173901444,0.27824231
L93,0.001984999,0.005753549
L95,0.021668601,0.143337202
L97,0.021252174,0.027627826
L103,5.47E-06,6.02E-06
L104,0.029654109,0.038550342
L105,0.018851631,0.02450712
L106,0.011927561,0.01550583
L107,0.043737074,0.187474147
L108,0.099836567,0.129787537
L109,0.247827161,0.396523457
L111,0,0
L113,0,0
L114,0,0
L115,0.02090314,0.027174081
L117,0.139307629,0.181099917
L119,0.077834954,0.10118544
L120,0.221823002,0.288369903
L121,0.000152172,0.002314063
L123,0,0
L124,0,0
L125,0.016352753,0.021258579
L126,0.211940081,0.33910413
L127,0.003179644,0.003497609
L129,0.013640046,0.127280091
L131,0.145540974,0.189203266
L132,0.007578522,0.115157044
L133,0.308428217,0.493485147
L134,0.002842164,0.003536619
L135,0.093492741,0.121540564
L136,0.178012453,0.284819924
L137,0.003554704,0.005038431
L140,0.00624376,0.01624376
L141,0.003999138,0.013999138
L142,0.027226506,0.035394458
